platform_row_id,transaction_id,user_id,paid_at,amount,currency,transaction_type,original_transaction_id
PT-001,TXN-1001,USER-001,2026-03-01,120.00,USD,PAYMENT,
PT-002,TXN-1002,USER-002,2026-03-02,45.50,USD,PAYMENT,
PT-003,TXN-1003,USER-003,2026-03-03,88.10,USD,PAYMENT,
PT-004,TXN-1004,USER-004,2026-03-04,250.75,USD,PAYMENT,
PT-005,TXN-1005,USER-005,2026-03-06,18.20,USD,PAYMENT,
PT-006,TXN-1006,USER-006,2026-03-07,300.00,USD,PAYMENT,
PT-007,TXN-1007,USER-007,2026-03-09,64.35,USD,PAYMENT,
PT-008,TXN-1008,USER-008,2026-03-10,99.99,USD,PAYMENT,
PT-009,TXN-1009,USER-009,2026-03-11,500.00,USD,PAYMENT,
PT-010,TXN-1010,USER-010,2026-03-12,10.005,USD,PAYMENT,
PT-011,TXN-1011,USER-011,2026-03-12,20.005,USD,PAYMENT,
PT-012,TXN-1012,USER-012,2026-03-12,30.005,USD,PAYMENT,
PT-013,TXN-1013,USER-013,2026-03-13,75.23,USD,PAYMENT,
PT-014,TXN-1014,USER-014,2026-03-14,41.00,USD,PAYMENT,
PT-015,TXN-1014,USER-014,2026-03-14,41.00,USD,PAYMENT,
PT-016,TXN-1015,USER-015,2026-03-31,145.00,USD,PAYMENT,
PT-017,TXN-1016,USER-016,2026-03-20,210.40,USD,PAYMENT,
PT-018,TXN-1017,USER-017,2026-03-21,-12.00,USD,REFUND,TXN-1005
PT-019,TXN-1018,USER-018,2026-03-22,60.00,USD,PAYMENT,
PT-020,TXN-1019,USER-019,2026-03-24,33.33,USD,PAYMENT,
PT-021,TXN-1020,USER-020,2026-03-25,125.25,USD,PAYMENT,
PT-022,TXN-1021,USER-021,2026-03-26,89.90,USD,PAYMENT,
PT-023,TXN-1022,USER-022,2026-03-27,10.00,USD,PAYMENT,
PT-024,TXN-1023,USER-023,2026-03-28,72.72,USD,PAYMENT,
PT-025,TXN-1024,USER-024,2026-03-29,15.15,USD,PAYMENT,
